Bundle	Paper	Venue	Author
Bundle 8	Rapid Transaction-Undo Recovery Using Twin-Page Storage Management.	IEEE Trans. Software Eng.	Kun-Lung Wu, W. Kent Fuchs	
Bundle 8	The Use of Description Logics in KBSE Systems: Experience Report.	ICSE	Premkumar T. Devanbu, Mark A. Jones	
Bundle 8	Using assertions to help end-user programmers create dependable web macros.	SIGSOFT FSE	Gregg Rothermel, Sebastian G. Elbaum, Lorin Hochstein, Christopher Scaffidi, Kathryn T. Stolee, Andhy Koesnandar	
Bundle 8	Declarative Specification of Software Architectures.	ASE	John Penix, Klaus Havelund, Perry Alexander	
Bundle 9	On Homogeneity and On-Line=Off-Line Behavior in M/G/1 Queueing Systems.	IEEE Trans. Software Eng.	Raymond M. Bryant	
Bundle 9	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 9	RCAT: A Performance Analysis Tool.	ASE	Zakarya Alzamil	
Bundle 9	An Introduction to the Programmer's Workbench.	ICSE	John R. Mashey, Ted A. Dolotta	
Bundle 10	Analogy-X: Providing Statistical Inference to Analogy-Based Software Cost Estimation.	IEEE Trans. Software Eng.	D. Ross Jeffery, Jacky Keung, Barbara A. Kitchenham	
Bundle 10	An empirical investigation of software reuse benefits in a large telecom product.	ACM Trans. Softw. Eng. Methodol.	Reidar Conradi, Parastoo Mohagheghi	
Bundle 10	Fraunhofer: the German model for applied research and technology transfer.	ICSE	H. Dieter Rombach	
Bundle 10	An Empirical Study of the Evolution of a Software System.	ASE	Rachel Harrison, Brian Warboys, R. Mark Greenwood, Peter Henderson	
Objetive function	48.8922
