Bundle	Paper	Venue	Author
Bundle 8	An Interval Logic for Real-Time System Specification.	IEEE Trans. Software Eng.	Paolo Nesi, Riccardo Mattolini	
Bundle 8	Reasoning about static and dynamic properties in alloy: A purely relational approach.	ACM Trans. Softw. Eng. Methodol.	Nazareno Aguirre, T. S. E. Maibaum, Gabriel A. Baum, Marcelo F. Frias, Carlos López Pombo	
Bundle 8	Automated Software Engineering Using Concurrent Class Machines.	ASE	Scott A. Smolka, Yanhong A. Liu, Jingyu Yan, Scott D. Stoller, Radu Grosu	
Bundle 8	HighSpec: a tool for building and checking OZTA models.	ICSE	Shengchao Qin, Jin Song Dong, Ping Hao, Xian Zhang	
Bundle 8	COM revisited: tool-assisted modelling of an architectural framework.	SIGSOFT FSE	Daniel Jackson, Kevin J. Sullivan	
Bundle 9	Carving and Replaying Differential Unit Test Cases from System Test Cases.	IEEE Trans. Software Eng.	Sebastian G. Elbaum, Matthew B. Dwyer, Matthew Jorde, Hui Nee Chin	
Bundle 9	Empirical evaluation of a nesting testability transformation for evolutionary testing.	ACM Trans. Softw. Eng. Methodol.	David Binkley, Mark Harman, Phil McMinn	
Bundle 9	Unit testing concurrent software.	ASE	William Pugh, Nathaniel Ayewah	
Bundle 9	Practical change impact analysis based on static program slicing for industrial software systems.	ICSE	Mithun Acharya, Brian Robinson	
Bundle 9	Efficient incremental algorithms for dynamic detection of likely invariants.	SIGSOFT FSE	Michael D. Ernst, Jeff H. Perkins	
Bundle 10	Experiences Using Lightweight Formal Methods for Requirements Modeling.	IEEE Trans. Software Eng.	David Hamilton, Steve M. Easterbrook, Robyn R. Lutz, John Kelly, Richard Covington, Yoko Ampo	
Bundle 10	Metamodel-based model conformance and multiview consistency checking.	ACM Trans. Softw. Eng. Methodol.	Jonathan S. Ostroff, Richard F. Paige, Phillip J. Brooke	
Bundle 10	Automating Software Traceability in Very Small Companies: A Case Study and Lessons Learne.	ASE	Paul Grünbacher, Christian Neumuller	
Bundle 10	Metrics for model driven requirements development.	ICSE	Brian Berenbach, Gail Borotto	
Bundle 10	Composable semantics for model-based notations.	SIGSOFT FSE	Jianwei Niu, Joanne M. Atlee, Nancy A. Day	
Objetive function	81.8331
