Bundle	ArticleId	Paper	Venue	Author
Bundle 6	2643	Unifying aspect- and object-oriented design.	ACM Trans. Softw. Eng. Methodol.	Kevin J. Sullivan, Hridesh Rajan	
Bundle 6	2937	Eliminating products to test in a software product line.	ASE	Don S. Batory, Sarfraz Khurshid, Chang Hwan Peter Kim	
Bundle 6	3767	Requirements, domain and specifications: a viewpoint-based approach to requirements engineering.	ICSE	Andrés Silva	
Bundle 6	5316	Effective blame for information-flow violations.	SIGSOFT FSE	Somesh Jha, Dave King 0002, Trent Jaeger, Sanjit A. Seshia	
Bundle 7	76	An Application of a Method for Analysis of Cyclic Programs.	IEEE Trans. Software Eng.	Nissim Francez	
Bundle 7	2679	Task Dependence and Termination in Ada.	ACM Trans. Softw. Eng. Methodol.	Laura K. Dillon	
Bundle 7	3039	Static Typing for Ruby on Rails.	ASE	Jeffrey S. Foster, Avik Chaudhuri, Jong-hoon (David) An	
Bundle 7	3859	Mining Security-Sensitive Operations in Legacy Code Using Concept Analysis.	ICSE	Somesh Jha, Dave King 0002, Trent Jaeger, Vinod Ganapathy	
Bundle 7	5442	Scalable SMT-based verification of GPU kernel functions.	SIGSOFT FSE	Ganesh Gopalakrishnan, Guodong Li	
Bundle 8	886	A New Method of Image Compression using Irreducible Covers of Maximum Rectangles.	IEEE Trans. Software Eng.	Rangasami L. Kashyap, S. Sitharama Iyengar, Ying Cheng	
Bundle 8	2710	Foundations of incremental aspect model-checking.	ACM Trans. Softw. Eng. Methodol.	Shriram Krishnamurthi, Kathi Fisler	
Bundle 8	3091	Deviation Analysis Through Model Checking.	ASE	Mats Per Erik Heimdahl, Yunja Choi, Michael W. Whalen	
Bundle 8	4862	Effective static deadlock detection.	ICSE	Koushik Sen, David Gay, Mayur Naik, Chang-Seo Park	
Bundle 8	5393	Alchemy: transmuting base alloy specifications into implementations.	SIGSOFT FSE	Shriram Krishnamurthi, Kathi Fisler, Daniel Yoo, Daniel J. Dougherty	
Bundle 9	54	An Argument in Favor of Mechanized Software Production.	IEEE Trans. Software Eng.	Gruia-Catalin Roman	
Bundle 9	2623	Modular aspect-oriented design with XPIs.	ACM Trans. Softw. Eng. Methodol.	William G. Griswold, Kevin J. Sullivan, Yuanfang Cai, Yuanyuan Song, Nishit Tewari, Macneil Shonle, Hridesh Rajan	
Bundle 9	2935	Programs Are Abstract Data Types.	ASE	Martin Erwig	
Bundle 9	3696	XMIDDLE: information sharing middleware for a mobile environment.	ICSE	Wolfgang Emmerich, Licia Capra, Cecilia Mascolo, Stefanos Zachariadis	
Bundle 9	5300	Bit level types for high level reasoning.	SIGSOFT FSE	Rupak Majumdar, Ranjit Jhala	
Bundle 10	417	A Domain-Specific Language for Regular Sets of Strings and Trees.	IEEE Trans. Software Eng.	Nils Klarlund, Michael I. Schwartzbach	
Bundle 10	2672	Composition and Refinement of Discrte Real-Time Systems.	ACM Trans. Softw. Eng. Methodol.	Jonathan S. Ostroff	
Bundle 10	2939	Tutorial on JML, the java modeling language.	ASE	Gary T. Leavens	
Bundle 10	4192	Integrating static analysis and general-purpose theorem proving for termination analysis.	ICSE	Daron Vroon, Panagiotis Manolios	
Bundle 10	5293	Interpolation for data structures.	SIGSOFT FSE	Rupak Majumdar, Deepak Kapur, Calogero G. Zarba	
Objetive function	99.9993
