Bundle	ArticleId	Paper	Venue	Author
Bundle 6	2731	Equivalence analysis and its application in improving the efficiency of program slicing.	ACM Trans. Softw. Eng. Methodol.	Mary Jean Harrold, Donglin Liang	
Bundle 6	3116	Synthesizing client load models for performance engineering via web crawling.	ASE	John C. Grundy, John G. Hosking, Yuhong Cai	
Bundle 6	3801	Spontaneous software: a Web-based, object computing paradigm.	ICSE	Glêdson Elias da Silveira	
Bundle 6	5302	Containment units: a hierarchically composable architecture for adaptive systems.	SIGSOFT FSE	Leon J. Osterweil, Barbara Staudt Lerner, Alexander E. Wise, Jamieson M. Cobleigh	
Bundle 7	1356	Experiences Using Lightweight Formal Methods for Requirements Modeling.	IEEE Trans. Software Eng.	David Hamilton, Steve M. Easterbrook, Robyn R. Lutz, John Kelly, Richard Covington, Yoko Ampo	
Bundle 7	2635	Metamodel-based model conformance and multiview consistency checking.	ACM Trans. Softw. Eng. Methodol.	Jonathan S. Ostroff, Richard F. Paige, Phillip J. Brooke	
Bundle 7	2999	Automating Software Traceability in Very Small Companies: A Case Study and Lessons Learne.	ASE	Paul Grünbacher, Christian Neumuller	
Bundle 7	4220	Metrics for model driven requirements development.	ICSE	Brian Berenbach, Gail Borotto	
Bundle 7	5294	Composable semantics for model-based notations.	SIGSOFT FSE	Jianwei Niu, Joanne M. Atlee, Nancy A. Day	
Bundle 8	62	Validating a Demonstration Tool for Graphics-Assisted Debugging of Ada Concurrent Programs.	IEEE Trans. Software Eng.	Michael B. Feldman, Melinda L. Moran	
Bundle 8	2643	Unifying aspect- and object-oriented design.	ACM Trans. Softw. Eng. Methodol.	Kevin J. Sullivan, Hridesh Rajan	
Bundle 8	2937	Eliminating products to test in a software product line.	ASE	Don S. Batory, Sarfraz Khurshid, Chang Hwan Peter Kim	
Bundle 8	3767	Requirements, domain and specifications: a viewpoint-based approach to requirements engineering.	ICSE	Andrés Silva	
Bundle 8	5316	Effective blame for information-flow violations.	SIGSOFT FSE	Somesh Jha, Dave King 0002, Trent Jaeger, Sanjit A. Seshia	
Bundle 9	762	Carving and Replaying Differential Unit Test Cases from System Test Cases.	IEEE Trans. Software Eng.	Sebastian G. Elbaum, Matthew B. Dwyer, Matthew Jorde, Hui Nee Chin	
Bundle 9	2678	Empirical evaluation of a nesting testability transformation for evolutionary testing.	ACM Trans. Softw. Eng. Methodol.	David Binkley, Mark Harman, Phil McMinn	
Bundle 9	3038	Unit testing concurrent software.	ASE	William Pugh, Nathaniel Ayewah	
Bundle 9	3749	Practical change impact analysis based on static program slicing for industrial software systems.	ICSE	Mithun Acharya, Brian Robinson	
Bundle 9	5363	Efficient incremental algorithms for dynamic detection of likely invariants.	SIGSOFT FSE	Michael D. Ernst, Jeff H. Perkins	
Bundle 10	111	An Interval Logic for Real-Time System Specification.	IEEE Trans. Software Eng.	Paolo Nesi, Riccardo Mattolini	
Bundle 10	2602	Reasoning about static and dynamic properties in alloy: A purely relational approach.	ACM Trans. Softw. Eng. Methodol.	Nazareno Aguirre, T. S. E. Maibaum, Gabriel A. Baum, Marcelo F. Frias, Carlos López Pombo	
Bundle 10	2927	Automated Software Engineering Using Concurrent Class Machines.	ASE	Scott A. Smolka, Yanhong A. Liu, Jingyu Yan, Scott D. Stoller, Radu Grosu	
Bundle 10	3650	HighSpec: a tool for building and checking OZTA models.	ICSE	Shengchao Qin, Jin Song Dong, Ping Hao, Xian Zhang	
Bundle 10	5233	COM revisited: tool-assisted modelling of an architectural framework.	SIGSOFT FSE	Daniel Jackson, Kevin J. Sullivan	
Objetive function	70.205
